"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"nelson mandela bay campus","it","i am a developer by profession","","primary/elementary school","assembly;c;c#;c++;html/css;java;javascript;php;python;typescript","microsoft access;microsoft sql server;mysql;sqlite","cloudflare;heroku;netlify;oracle cloud infrastructure (oci)","asp.net;asp.net core;blazor;node.js;react","wholesale","bing ai;chatgpt;wolframalpha","aws codewhisperer;whispr ai","student, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","java","microsoft sql server","","","wholesale","","rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","engineering manager","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript","","","express;node.js;react","financial services","","github copilot","employed, full-time"
"pretoria campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, full-stack","some college/university study without earning a degree","c#;powershell;python","mongodb;sqlite","","","financial services","wolframalpha","mintlify;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","php","mysql","cloudflare","blazor;elm","information services, it, software development, or other technology","chatgpt","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","html/css;javascript;php;typescript","mariadb;mongodb;mysql;postgresql;redis","amazon web services (aws);cloudflare;digital ocean;firebase","angular;angularjs;codeigniter;laravel","healthcare","chatgpt;google bard ai","github copilot;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c;html/css;javascript;php;python;swift","mysql;sqlite","","","legal services","","rubber duck.ai;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, embedded applications or devices","some college/university study without earning a degree","bash/shell (all shells);c;c#;c++","","","","information services, it, software development, or other technology","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;powershell;python;sql;typescript","mongodb;mysql;postgresql;sqlite","digital ocean;hetzner;microsoft azure","angular;django;fastapi;gatsby;node.js;vue.js","advertising services","chatgpt;wolframalpha","aws codewhisperer;github copilot;synk code","independent contractor, freelancer, or self-employed"
"midrand campus","data science","i am a developer by profession","senior executive (c-suite, vp, etc.)","associate degree (a.a., a.s., etc.)","html/css;javascript;php;sql;typescript","firebase realtime database;mongodb;sqlite","amazon web services (aws);firebase;ovh","express;node.js;react","higher education","chatgpt","rubber duck.ai;tabnine","employed, full-time"
"tyger valley campus","it","i am a developer by profession","data or business analyst","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);go;java;javascript","bigquery;oracle;postgresql","google cloud","spring boot","information services, it, software development, or other technology","","whispr ai","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c++;html/css;javascript;php;sql","mongodb;mysql;postgresql","amazon web services (aws);google cloud","codeigniter;jquery;laravel;node.js;react;vue.js;wordpress","information services, it, software development, or other technology","","github copilot;replit ghostwriter;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;dart;html/css;java;javascript;python;sql;typescript","mongodb;mysql;postgresql","firebase;heroku;netlify","express;fastify;node.js","oil & gas","chatgpt","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","it","i am a developer by profession","data or business analyst","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;python;sql","microsoft sql server;oracle","","","higher education","","adrenaline;mintlify","employed, full-time"
"pretoria campus","computer science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);html/css;java;kotlin;python;sql","mariadb","","","advertising services","chatgpt","adrenaline;tabnine","student, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","javascript;kotlin;php;python","cockroachdb;elasticsearch;mysql;redis","openstack","laravel;nestjs","advertising services","","tabnine","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, front-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript","","","react","advertising services","chatgpt;google bard ai;neeva ai;you.com","codeium;github copilot;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);go;html/css;javascript;swift;typescript","elasticsearch;mariadb;mongodb;mysql;redis;sqlite","amazon web services (aws);cloudflare;firebase","node.js","other","chatgpt","tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c++;groovy;python","","","","higher education","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","","","angular","oil & gas","chatgpt","aws codewhisperer;codeium;github copilot;synk code;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","cloud infrastructure engineer","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;java;javascript;python;rust;typescript","cassandra;mongodb;postgresql;redis","amazon web services (aws);google cloud;microsoft azure;vmware","angular;asp.net core;django;fastapi;flask;vue.js","advertising services","chatgpt","adrenaline;github copilot","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, front-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","javascript;typescript","mongodb;postgresql","","next.js;react","wholesale","chatgpt","github copilot;synk code;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","engineering manager","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c#;c++;java;lisp;matlab;objective-c;php","cassandra;couch db;dynamodb;influxdb;mariadb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;linode, now akamai","","financial services","","mintlify","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;go;html/css;sql","postgresql;redis","managed hosting","angular;asp.net core;react","financial services","","github copilot;mintlify;replit ghostwriter","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;java;javascript;php;powershell;sql;typescript","elasticsearch;microsoft sql server;mysql;redis","microsoft azure;netlify;openshift;vercel;vmware","asp.net;asp.net core;blazor;express;jquery;next.js;node.js;react;spring boot;svelte;vue.js","advertising services","chatgpt","codeium;github copilot;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;sql;typescript","microsoft sql server;mysql;oracle","amazon web services (aws)","angular;asp.net;asp.net core;express;jquery;node.js;react","information services, it, software development, or other technology","chatgpt","codeium;github copilot;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","designer","professional degree (jd, md, ph.d, ed.d, etc.)","c#;java;kotlin;python;sql","microsoft sql server;mongodb","heroku;vmware","asp.net core;spring boot","wholesale","chatgpt;wolframalpha","aws codewhisperer;codeium;tabnine","employed, full-time"
"umhlanga campus","computer science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;c#;c++;html/css;java;javascript;kotlin;powershell;python;sql;typescript","mariadb;microsoft access;mongodb","vercel","express;jquery;next.js;node.js;react;vue.js","financial services","chatgpt","rubber duck.ai","student, part-time"
"nelson mandela bay campus","it","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;python","elasticsearch;mongodb","amazon web services (aws);vercel","angular;angularjs;express;node.js;react","advertising services","","aws codewhisperer","student, full-time"
"umhlanga campus","data science","none of these","","","","","","","other","","github copilot;synk code;tabnine",""
